HotelName,Rating,Website,Phone,Details,Address,ZipCode,City
Castillo Group Hotel,2.49,www.castillogrouphotel.com,0031900895,Harbor views,31695 James Ports Apt. 034,98101,Seattle
"Jenkins, Sanchez and Jones Hotel",0.6,"www.jenkins,sanchezandjoneshotel.com",001-501-283-3219x900,Near marina,81672 Ford Motorway,98105,Seattle
West-Ellis Hotel,4.86,www.west-ellishotel.com,174-132-5764,Central location,00657 Sanders Run,98109,Seattle
Hamilton Ltd Hotel,2.83,www.hamiltonltdhotel.com,154.062.7766,Ocean view rooms,47810 Kelli Row,98003,Federal Way
Long LLC Hotel,4.26,www.longllchotel.com,108-740-9809,Harbor views,22452 Hill Shoal Suite 356,98109,Seattle
"Owen, Taylor and Wilson Hotel",4.49,"www.owen,taylorandwilsonhotel.com",(696)444-6197x489,Industrial chic,14322 Noble Road,98133,Seattle
"Pineda, Stanton and Fischer Hotel",4.41,"www.pineda,stantonandfischerhotel.com",270.037.4824,Garden setting,06204 Vicki Junction Apt. 691,98102,Seattle
Howard LLC Hotel,4.74,www.howardllchotel.com,7613964719,Close to campus,4981 Misty Manors,98133,Seattle
Warren-Martin Hotel,0.42,www.warren-martinhotel.com,656.923.2474,Industrial chic,62420 Williams Estates Apt. 934,98104,Seattle
Bryant-Fuller Hotel,3.35,www.bryant-fullerhotel.com,021.209.3989x53951,Central location,957 Eaton Spurs,98198,Des Moines
Clark-Bradley Hotel,1.74,www.clark-bradleyhotel.com,(475)183-7026x5898,Near tourist spots,572 Brandon Curve Suite 179,98104,Seattle
James-Wallace Hotel,3.93,www.james-wallacehotel.com,389.340.9968x615,Victorian charm,01075 Tran Common Apt. 155,98198,Des Moines
"Chen, Beltran and Duran Hotel",4.97,"www.chen,beltranandduranhotel.com",668-231-3322,Industrial chic,3757 King Camp Suite 243,98003,Federal Way
Castro-Bowen Hotel,0.24,www.castro-bowenhotel.com,259-579-2861,Modern design,027 James Trail,98101,Seattle
Clarke Ltd Hotel,2.27,www.clarkeltdhotel.com,737.195.2076x6988,Near tourist spots,379 Ward Courts Suite 571,98108,Seattle
Cabrera and Sons Hotel,4.97,www.cabreraandsonshotel.com,566.753.8978x859,Modern design,760 Bruce Canyon,98122,Seattle
Hanson-Roman Hotel,4.51,www.hanson-romanhotel.com,+1-910-818-9650x381,5-star services,1476 Amy Oval,98119,Seattle
"Lee, Brooks and Scott Hotel",1.07,"www.lee,brooksandscotthotel.com",+1-157-679-3670x5748,Central location,6745 Lewis Islands Suite 523,98188,SeaTac
