region,Address,PostalCode,City,Rating,region_id,Website,Phone,Details,type,HotelId,HotelName
NY,147 West 43rd Street,10036,New York City,4,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d113317-Reviews-Casablanca_Hotel_Times_Square-New_York_City_New_York.html,,,hotel,113317,Casablanca Hotel Times Square
CA,300 S Doheny Dr,90048,Los Angeles,5,32655,http://www.tripadvisor.com/Hotel_Review-g32655-d76049-Reviews-Four_Seasons_Hotel_Los_Angeles_at_Beverly_Hills-Los_Angeles_California.html,,,hotel,76049,Four Seasons Hotel Los Angeles at Beverly Hills
NY,790 Eighth Avenue,10019,New York City,3.5,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d99352-Reviews-Hilton_Garden_Inn_Times_Square-New_York_City_New_York.html,,,hotel,99352,Hilton Garden Inn Times Square
NY,152 West 51st Street,10019,New York City,4,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d93589-Reviews-The_Michelangelo_Hotel-New_York_City_New_York.html,,,hotel,93589,The Michelangelo Hotel
NY,130 West 46th Street,10036,New York City,4,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d217616-Reviews-The_Muse_Hotel_New_York-New_York_City_New_York.html,,,hotel,217616,The Muse Hotel New York
NY,45 West 44th Street,10036,New York City,4.5,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d208454-Reviews-Sofitel_New_York-New_York_City_New_York.html,,,hotel,208454,Sofitel New York
NY,1170 Broadway & 28th Street,10001,New York City,,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d2643161-Reviews-The_NoMad_Hotel-New_York_City_New_York.html,,,hotel,2643161,The NoMad Hotel
NY,340 West 40th Street,10018,New York City,3.5,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d1465162-Reviews-Staybridge_Suites_Times_Square_New_York_City-New_York_City_New_York.html,,,hotel,1465162,Staybridge Suites Times Square - New York City
NY,781 Fifth Avenue,10022,New York City,4.5,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d93559-Reviews-The_Sherry_Netherland_Hotel-New_York_City_New_York.html,,,hotel,93559,The Sherry-Netherland Hotel
NY,150 East 50th Street,10022,New York City,4,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d80112-Reviews-San_Carlos_Hotel-New_York_City_New_York.html,,,hotel,80112,San Carlos Hotel
NY,49 W 44th St,10036,New York City,4,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d93396-Reviews-The_Iroquois-New_York_City_New_York.html,,,hotel,93396,The Iroquois
NY,851 Avenue of the Americas (Sixth Avenue),10001,New York City,4,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d1456560-Reviews-Eventi_a_Kimpton_Hotel-New_York_City_New_York.html,,,hotel,1456560,Eventi - a Kimpton Hotel
NY,130 West 44th Street,10036,New York City,5,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d1641016-Reviews-The_Chatwal-New_York_City_New_York.html,,,hotel,1641016,The Chatwal
NY,400 Fifth Avenue,10018,New York City,5,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d1776857-Reviews-The_Setai_Fifth_Avenue_a_Capella_managed_Hotel-New_York_City_New_York.html,,,hotel,1776857,"The Setai Fifth Avenue, a Capella managed Hotel"
NY,485 5th Avenue,10017,New York City,4,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d1762573-Reviews-Andaz_5th_Avenue-New_York_City_New_York.html,,,hotel,1762573,Andaz 5th Avenue
NY,2130 Broadway at 75th Street,10023,New York City,3,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d93338-Reviews-Hotel_Beacon-New_York_City_New_York.html,,,hotel,93338,Hotel Beacon
NY,50 Central Park South,10019,New York City,5,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d224224-Reviews-The_Ritz_Carlton_New_York_Central_Park-New_York_City_New_York.html,,,hotel,224224,"The Ritz-Carlton New York, Central Park"
TX,10609 Westpark Drive,77042,Houston,3,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d1866401-Reviews-Holiday_Inn_Hotel_Houston_Westchase-Houston_Texas.html,,,hotel,1866401,Holiday Inn Hotel-Houston Westchase
TX,4 Riverway,77056,Houston,4.5,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d99060-Reviews-Omni_Houston_Hotel-Houston_Texas.html,,,hotel,99060,Omni Houston Hotel
TX,930 Normandy St,77015,Houston,2.5,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d1218737-Reviews-La_Quinta_Inn_Suites_Houston_Normandy-Houston_Texas.html,,,hotel,1218737,La Quinta Inn & Suites Houston - Normandy
TX,12801 Northwest Fwy,77040-6301,Houston,3.5,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d99081-Reviews-Crowne_Plaza_Houston_Brookhollow-Houston_Texas.html,,,hotel,99081,Crowne Plaza Houston - Brookhollow
TX,1615 W. Loop South,77027,Houston,3,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d107915-Reviews-Drury_Inn_Suites_Houston_Near_The_Galleria-Houston_Texas.html,,,hotel,107915,Drury Inn & Suites Houston Near The Galleria
TX,945 Gessner Road,77024,Houston,4,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d1966350-Reviews-The_Westin_Houston_Memorial_City-Houston_Texas.html,,,hotel,1966350,The Westin Houston Memorial City
TX,4800 Calhoun Rd,77004,Houston,3.5,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d108038-Reviews-Hilton_University_of_Houston-Houston_Texas.html,,,hotel,108038,Hilton University of Houston
TX,800 Sorella Court,77024,Houston,4,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d1200103-Reviews-Hotel_Sorella_CITYCENTRE-Houston_Texas.html,,,hotel,1200103,Hotel Sorella CITYCENTRE
TX,220 Main Street,77002,Houston,4,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d283873-Reviews-Hotel_Icon_Autograph_Collection-Houston_Texas.html,,,hotel,283873,"Hotel Icon, Autograph Collection"
TX,1300 Lamar Street,77010,Houston,5,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d98952-Reviews-Four_Seasons_Hotel_Houston-Houston_Texas.html,,,hotel,98952,Four Seasons Hotel Houston
TX,5454 Hollister Street,77040,Houston,2.5,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d107956-Reviews-Extended_Stay_America_Houston_Northwest-Houston_Texas.html,,,hotel,107956,Extended Stay America - Houston - Northwest
TX,12245 Katy Freeway,77079,Houston,3,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d1158926-Reviews-Hilton_Garden_Inn_Houston_Energy_Corridor-Houston_Texas.html,,,hotel,1158926,Hilton Garden Inn Houston Energy Corridor
TX,1600 Lamar,77010,Houston,4,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d282699-Reviews-Hilton_Americas_Houston-Houston_Texas.html,,,hotel,282699,Hilton Americas - Houston
TX,915 West Dallas,77019,Houston,3.5,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d239853-Reviews-BEST_WESTERN_PLUS_Downtown_Inn_Suites_Houston-Houston_Texas.html,,,hotel,239853,BEST WESTERN PLUS Downtown Inn & Suites Houston
TX,2900 Sage Road,77056,Houston,3,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d665163-Reviews-Courtyard_by_Marriott_Houston_by_the_Galleria-Houston_Texas.html,,,hotel,665163,Courtyard by Marriott Houston by the Galleria
TX,6 Greenway Plaza East,77046,Houston,4,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d111618-Reviews-Renaissance_Houston_Hotel_Greenway_Plaza-Houston_Texas.html,,,hotel,111618,Renaissance Houston Hotel Greenway Plaza
TX,5060 West Alabama Street,77056,Houston,4,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d99114-Reviews-Westin_Galleria_Houston_Hotel-Houston_Texas.html,,,hotel,99114,Westin Galleria Houston Hotel
TX,9975 Westheimer Rd,77042,Houston,3,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d107924-Reviews-Courtyard_by_Marriott_Houston_Westchase-Houston_Texas.html,,,hotel,107924,Courtyard by Marriott Houston Westchase
TX,1715 Old Spanish Trail,77054,Houston,2.5,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d223151-Reviews-Hampton_Inn_and_Suites_Houston_Medical_Center_Reliant_Park-Houston_Texas.html,,,hotel,223151,Hampton Inn and Suites Houston Medical Center - Reliant Park
TX,11130 Northwest Freeway,77092,Houston,2.5,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d223137-Reviews-La_Quinta_Inn_Houston_Northwest-Houston_Texas.html,,,hotel,223137,La Quinta Inn Houston Northwest
TX,1117 Prairie Street,77002,Houston,4,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d258636-Reviews-Alden_Houston-Houston_Texas.html,,,hotel,258636,Alden-Houston
TX,2900 Briarpark Dr.,77042,Houston,3.5,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d98920-Reviews-Houston_Marriott_Westchase-Houston_Texas.html,,,hotel,98920,Houston Marriott Westchase
TX,10130 Almeda Genoa Road,77075,Houston,2,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d1236706-Reviews-Super_8_Houston_Hobby_Airport_South-Houston_Texas.html,,,hotel,1236706,Super 8 Houston Hobby Airport South
TX,525 Bay Area Boulevard,77058,Houston,3,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d108057-Reviews-Residence_Inn_Houston_Clear_Lake-Houston_Texas.html,,,hotel,108057,Residence Inn Houston Clear Lake
TX,10015 South Main Street,77025-5209,Houston,2,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d240436-Reviews-Carefree_Inn_Medical_Center-Houston_Texas.html,,,hotel,240436,Carefree Inn Medical Center
TX,8888 Gulf Freeway,77017,Houston,2,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d266158-Reviews-Super_8_Houston_Hobby_Airport_I_45-Houston_Texas.html,,,hotel,266158,Super 8 Houston/Hobby Airport/I-45
TX,11460 East Freeway (I-10 East),77029,Houston,2.5,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d559491-Reviews-Holiday_Inn_Express_Houston_East-Houston_Texas.html,,,hotel,559491,Holiday Inn Express Houston East
TX,7443 Cullen Blvd,77051,Houston,,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d1630591-Reviews-Crowne_Plaza-Houston_Texas.html,,,hotel,1630591,Crowne Plaza
TX,9911 Buffalo Speedway,77054,Houston,2,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d99106-Reviews-La_Quinta_Inn_Houston_Medical_Reliant_Center-Houston_Texas.html,,,hotel,99106,La Quinta Inn Houston Medical / Reliant Center
TX,2222 West Loop South,77027,Houston,4,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d242394-Reviews-Royal_Sonesta_Hotel_Houston-Houston_Texas.html,,,hotel,242394,Royal Sonesta Hotel Houston
TX,15222 John F Kennedy Blvd,77032,Houston,3,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d108148-Reviews-Holiday_Inn_Houston_Intercontinental_Airport-Houston_Texas.html,,,hotel,108148,Holiday Inn Houston Intercontinental Airport
TX,10655 Katy Freeway,77024,Houston,3,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d99067-Reviews-Four_Points_by_Sheraton_Houston_Memorial_City-Houston_Texas.html,,,hotel,99067,"Four Points by Sheraton Houston, Memorial City"
TX,1150 Eldridge Parkway,77077,Houston,,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d585164-Reviews-Residence_Inn_Houston_West_Energy_Corridor-Houston_Texas.html,,,hotel,585164,Residence Inn Houston West/Energy Corridor
