Name,Inspection Date,Description,Address,City,Zip Code,Phone,Business_ID,Inspection_Serial_Num,Violation_Record_ID
1ST UNION STORE,03/02/2023,Grocery Store-no seating - Risk Category I,7729 RAINIER AVE S,SEATTLE,98118,(206) 721-1980,PR0078086,DAC5IWLLO,
1ST UNION STORE,09/08/2022,Grocery Store-no seating - Risk Category I,7729 RAINIER AVE S,SEATTLE,98118,(206) 721-1980,PR0078086,DAQHGEHRN,
1ST UNION STORE,11/04/2021,Grocery Store-no seating - Risk Category I,7729 RAINIER AVE S,SEATTLE,98118,(206) 721-1980,PR0078086,DA25R0EQF,IVGTXHIZ7
206 MINI MART LLC,06/28/2023,Grocery Store-no seating - Risk Category I,8738 RAINIER AVE S ,SEATTLE,98118,(206) 334-3876,PR0076125,DANEJZH3X,IVJR8WFFS
206 MINI MART LLC,08/15/2022,Grocery Store-no seating - Risk Category I,8738 RAINIER AVE S ,SEATTLE,98118,(206) 334-3876,PR0076125,DADJVZTSL,IVW5QC00B
24/7 CONVENIENCE STORE,03/27/2023,Grocery Store-no seating - Risk Category I,11851 GLENDALE WAY S,SEATTLE,98168,(206) 841-6123,PR0082552,DANMB07IQ,
24/7 CONVENIENCE STORE,09/27/2022,Grocery Store-no seating - Risk Category I,11851 GLENDALE WAY S,SEATTLE,98168,(206) 841-6123,PR0082552,DASYC3YL9,
24/7 CONVENIENCE STORE,10/20/2021,Grocery Store-no seating - Risk Category I,11851 GLENDALE WAY S,SEATTLE,98168,(206) 841-6123,PR0082552,DAI0HHYXO,
24/7 CONVENIENCE STORE,03/07/2019,Grocery Store-no seating - Risk Category I,11851 GLENDALE WAY S,SEATTLE,98168,(206) 841-6123,PR0082552,DA0SG4DOO,
24/7 CONVENIENCE STORE,03/26/2018,Grocery Store-no seating - Risk Category I,11851 GLENDALE WAY S,SEATTLE,98168,(206) 841-6123,PR0082552,DADRRE2AU,IVUIOUTAL
24/7 CONVENIENCE STORE,03/26/2018,Grocery Store-no seating - Risk Category I,11851 GLENDALE WAY S,SEATTLE,98168,(206) 841-6123,PR0082552,DADRRE2AU,IVEHZKGUB
2ND AVE GROCERY,01/03/2024,Grocery Store-no seating - Risk Category I,2237 2ND AVE ,SEATTLE,98121,(206) 306-5773,PR0071985,DAKDZMDL4,
2ND AVE GROCERY,11/18/2022,Grocery Store-no seating - Risk Category I,2237 2ND AVE ,SEATTLE,98121,(206) 306-5773,PR0071985,DAJUBTJPS,
2ND AVE GROCERY,11/17/2021,Grocery Store-no seating - Risk Category I,2237 2ND AVE ,SEATTLE,98121,(206) 306-5773,PR0071985,DAHKFLH3Q,
2ND AVE GROCERY,10/18/2019,Grocery Store-no seating - Risk Category I,2237 2ND AVE ,SEATTLE,98121,(206) 306-5773,PR0071985,DAHNH0FWZ,
405 EXPRESS MARKET,03/07/2024,Grocery Store-no seating - Risk Category I,1800 NE 44TH ST STE 100,Renton,98056,(425) 255-4259,PR0013001,DAOQFOVCS,IVKQHJPIL
505 DIMPLES GIFT & SUNDRIES,06/13/2023,Grocery Store-no seating - Risk Category I,505 5TH AVE S 190,SEATTLE,98104,(206) 643-0421,PR0068164,DAX0MKDY0,
505 DIMPLES GIFT & SUNDRIES,08/15/2022,Grocery Store-no seating - Risk Category I,505 5TH AVE S 190,SEATTLE,98104,(206) 643-0421,PR0068164,DAWOBL4XD,
505 DIMPLES GIFT & SUNDRIES,08/18/2021,Grocery Store-no seating - Risk Category I,505 5TH AVE S 190,SEATTLE,98104,(206) 643-0421,PR0068164,DAJ9IKSTS,
505 DIMPLES GIFT & SUNDRIES,03/11/2019,Grocery Store-no seating - Risk Category I,505 5TH AVE S 190,SEATTLE,98104,(206) 643-0421,PR0068164,DAGRKFY0Q,
505 DIMPLES GIFT & SUNDRIES,01/30/2018,Grocery Store-no seating - Risk Category I,505 5TH AVE S 190,SEATTLE,98104,(206) 643-0421,PR0068164,DAD0HM3CB,
505 DIMPLES GIFT & SUNDRIES,02/03/2017,Grocery Store-no seating - Risk Category I,505 5TH AVE S 190,SEATTLE,98104,(206) 643-0421,PR0068164,DA3WAUGQX,
505 DIMPLES GIFT & SUNDRIES,05/05/2016,Grocery Store-no seating - Risk Category I,505 5TH AVE S 190,SEATTLE,98104,(206) 643-0421,PR0068164,DAU26U5KH,
505 DIMPLES GIFT & SUNDRIES,02/18/2015,Grocery Store-no seating - Risk Category I,505 5TH AVE S 190,SEATTLE,98104,(206) 643-0421,PR0068164,DALOB9TDZ,
56TH STREET MARKET,03/26/2024,Grocery Store-no seating - Risk Category I,2201 N 56TH ST ,SEATTLE,98103,(206) 402-3699,PR0076345,DARQIOB1Q,
56TH STREET MARKET,08/29/2023,Grocery Store-no seating - Risk Category I,2201 N 56TH ST ,SEATTLE,98103,(206) 402-3699,PR0076345,DABFKKK9R,
56TH STREET MARKET,08/09/2022,Grocery Store-no seating - Risk Category I,2201 N 56TH ST ,SEATTLE,98103,(206) 402-3699,PR0076345,DAFUPZAHC,
56TH STREET MARKET,07/09/2021,Grocery Store-no seating - Risk Category I,2201 N 56TH ST ,SEATTLE,98103,(206) 402-3699,PR0076345,DAJQUWMDH,
56TH STREET MARKET,03/06/2020,Grocery Store-no seating - Risk Category I,2201 N 56TH ST ,SEATTLE,98103,(206) 402-3699,PR0076345,DA5VKFZLN,
56TH STREET MARKET,08/21/2019,Grocery Store-no seating - Risk Category I,2201 N 56TH ST ,SEATTLE,98103,(206) 402-3699,PR0076345,DAQC0WNIH,
56TH STREET MARKET,08/21/2018,Grocery Store-no seating - Risk Category I,2201 N 56TH ST ,SEATTLE,98103,(206) 402-3699,PR0076345,DACEQM8W8,
56TH STREET MARKET,07/26/2017,Grocery Store-no seating - Risk Category I,2201 N 56TH ST ,SEATTLE,98103,(206) 402-3699,PR0076345,DA88HXA0T,
56TH STREET MARKET,08/16/2016,Grocery Store-no seating - Risk Category I,2201 N 56TH ST ,SEATTLE,98103,(206) 402-3699,PR0076345,DAIROZ2FG,
56TH STREET MARKET,05/13/2015,Grocery Store-no seating - Risk Category I,2201 N 56TH ST ,SEATTLE,98103,(206) 402-3699,PR0076345,DAKPZFPJ1,IVRLNHEA0
56TH STREET MARKET,04/16/2014,Grocery Store-no seating - Risk Category I,2201 N 56TH ST ,SEATTLE,98103,(206) 402-3699,PR0076345,DASW9CQ6L,IV00ZG0DK
56TH STREET MARKET,02/25/2013,Grocery Store-no seating - Risk Category I,2201 N 56TH ST ,SEATTLE,98103,(206) 402-3699,PR0076345,DA2416706,
56TH STREET MARKET,03/15/2012,Grocery Store-no seating - Risk Category I,2201 N 56TH ST ,SEATTLE,98103,(206) 402-3699,PR0076345,DA2315370,
56TH STREET MARKET,03/31/2011,Grocery Store-no seating - Risk Category I,2201 N 56TH ST ,SEATTLE,98103,(206) 402-3699,PR0076345,DA2207722,
757 MINI MART,03/27/2023,Grocery Store-no seating - Risk Category I,14257 DES MOINES MEMORIAL DR S ,Seattle,98168,(206) 242-9431,PR0005059,DA7FZYYCD,
757 MINI MART,05/04/2022,Grocery Store-no seating - Risk Category I,14257 DES MOINES MEMORIAL DR S ,Seattle,98168,(206) 242-9431,PR0005059,DAHGL0DOU,
757 MINI MART,05/26/2021,Grocery Store-no seating - Risk Category I,14257 DES MOINES MEMORIAL DR S ,Seattle,98168,(206) 242-9431,PR0005059,DAZYSJEHX,
757 MINI MART,02/21/2019,Grocery Store-no seating - Risk Category I,14257 DES MOINES MEMORIAL DR S ,Seattle,98168,(206) 242-9431,PR0005059,DALZK3UPW,
757 MINI MART,01/18/2018,Grocery Store-no seating - Risk Category I,14257 DES MOINES MEMORIAL DR S ,Seattle,98168,(206) 242-9431,PR0005059,DABFQ9GBT,
757 MINI MART,03/23/2017,Grocery Store-no seating - Risk Category I,14257 DES MOINES MEMORIAL DR S ,Seattle,98168,(206) 242-9431,PR0005059,DAIM6WK60,
757 MINI MART,03/07/2016,Grocery Store-no seating - Risk Category I,14257 DES MOINES MEMORIAL DR S ,Seattle,98168,(206) 242-9431,PR0005059,DAPIVYWYY,
757 MINI MART,02/26/2015,Grocery Store-no seating - Risk Category I,14257 DES MOINES MEMORIAL DR S ,Seattle,98168,(206) 242-9431,PR0005059,DA682MMHA,
757 MINI MART,04/02/2014,Grocery Store-no seating - Risk Category I,14257 DES MOINES MEMORIAL DR S ,Seattle,98168,(206) 242-9431,PR0005059,DAZSOYPH0,
757 MINI MART,03/14/2013,Grocery Store-no seating - Risk Category I,14257 DES MOINES MEMORIAL DR S ,Seattle,98168,(206) 242-9431,PR0005059,DA5D0P00D,
757 MINI MART,03/20/2012,Grocery Store-no seating - Risk Category I,14257 DES MOINES MEMORIAL DR S ,Seattle,98168,(206) 242-9431,PR0005059,DA2316737,IV5069562
757 MINI MART,01/10/2011,Grocery Store-no seating - Risk Category I,14257 DES MOINES MEMORIAL DR S ,Seattle,98168,(206) 242-9431,PR0005059,DA2183845,IV2855107
757 MINI MART,01/10/2011,Grocery Store-no seating - Risk Category I,14257 DES MOINES MEMORIAL DR S ,Seattle,98168,(206) 242-9431,PR0005059,DA2183845,IV2855163
